Year,Commodity Name,Insurance Plan Name Abbreviation,Stage Code,Cause of Loss,Month of Loss,# of Policies Paid Out,Avg premium per policy,Avg amout paid out per policy
2024,Corn,RP,Replanted,Hail,JUN,1,"$1,823.00","$2,774.00"
2024,Corn,RP,Reduced Prevented Planting,Excess Moisture/Precipitation/Rain,MAY,1,$477.00,"$6,324.00"
2024,Corn,RP,Replanted,Excess Moisture/Precipitation/Rain,MAY,11,"$3,155.73","$2,459.45"
2024,Corn,RP,Replanted,Excess Moisture/Precipitation/Rain,APR,3,"$3,964.00","$3,210.00"
2024,Corn,RP,Replanted,Cold Wet Weather,MAY,2,"$1,714.50",$978.50
2024,Corn,RP,Unharvested,Flood,JUN,1,"$3,778.00","$88,854.00"
2023,Corn,RP,Harvested,Decline in Price,NOV,103,"$4,033.12","$7,735.80"
2023,Corn,RP,Harvested,Decline in Price,SEP,24,"$5,371.71","$11,029.46"
2023,Corn,RP,Unharvested,Decline in Price,AUG,39,"$5,309.12","$13,098.23"
2023,Corn,RP,Harvested,Decline in Price,JAN,1,"$2,929.50","$3,821.00"
2023,Corn,RP,Unharvested,Decline in Price,DEC,1,"$9,523.00","$41,843.00"
2023,Corn,RPHPE,Harvested,Decline in Price,OCT,1,"$4,683.00","$23,345.00"
2023,Corn,RP,Unharvested,Decline in Price,FEB,2,"$2,916.25","$12,330.50"
2023,Corn,RP,Harvested,Decline in Price,JUL,14,"$3,436.81","$13,393.11"
2023,Corn,RP,Unharvested,Decline in Price,SEP,8,"$3,525.75","$17,698.50"
2023,Corn,RP,Harvested,Decline in Price,OCT,20,"$4,136.90","$6,385.53"
2023,Corn,RP,Unharvested,Decline in Price,JUN,1,"$1,413.00","$3,496.00"
2023,Corn,RP,Unharvested,Decline in Price,NOV,33,"$3,900.92","$8,857.76"
2023,Corn,RP,Unharvested,Decline in Price,OCT,10,"$3,753.63","$4,402.35"
2023,Corn,RP,Unharvested,Decline in Price,JUL,6,"$6,195.77","$4,776.53"
2023,Corn,RP,Harvested,Decline in Price,AUG,39,"$3,597.33","$5,064.05"
2023,Corn,RP,Harvested,Decline in Price,FEB,2,"$5,226.25","$15,376.00"
2023,Corn,RP,Unharvested,Decline in Price,JAN,1,"$1,126.50",-$299.00
2023,Corn,RP,Harvested,Decline in Price,DEC,1,"$1,424.00","$10,332.00"
2023,Corn,RP,Unharvested,Drought,JUN,9,"$2,352.72","$26,117.44"
2023,Corn,RP,Unharvested,Drought,APR,4,"$3,154.75","$19,512.75"
2023,Corn,RP,Harvested,Drought,OCT,4,"$1,298.63","$8,689.50"
2023,Corn,RP,Unharvested,Drought,SEP,8,"$3,219.94","$25,170.50"
2023,Corn,RP,Unharvested,Drought,AUG,63,"$5,507.49","$34,422.85"
2023,Corn,RP,Harvested,Drought,NOV,6,"$1,964.17","$10,520.33"
2023,Corn,RP,Unharvested,Drought,JUL,52,"$4,842.21","$20,458.94"
2023,Corn,RP,Harvested,Drought,SEP,6,"$4,076.50","$17,281.67"
2023,Corn,RP,Harvested,Drought,JUL,53,"$3,874.38","$17,018.33"
2023,Corn,RPHPE,Unharvested,Drought,JUL,2,$625.50,"$5,032.00"
2023,Corn,RP,Unharvested,Drought,MAY,4,"$1,843.50","$17,841.75"
2023,Corn,RP,Unharvested,Drought,NOV,4,"$2,504.00","$13,055.00"
2023,Corn,RP,Harvested,Drought,AUG,38,"$3,187.26","$20,939.70"
2023,Corn,RPHPE,Harvested,Drought,MAY,1,$805.00,"$1,753.00"
2023,Corn,RP,Harvested,Drought,APR,4,"$2,743.50","$3,623.75"
2023,Corn,RP,Harvested,Drought,MAY,19,"$3,824.78","$16,272.93"
2023,Corn,YP,Harvested,Drought,JUL,1,"$3,290.00","$7,760.00"
2023,Corn,RP,Harvested,Drought,JUN,15,"$2,891.73","$14,254.15"
2023,Corn,RPHPE,Harvested,Drought,JUL,3,"$2,460.67","$5,504.00"
2023,Corn,RP,Unharvested,Heat,MAY,1,"$2,058.00","$6,582.00"
2023,Corn,RP,Harvested,Heat,JUL,2,$811.25,"$4,318.00"
