Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Avg Cal Yr,Avg Mktg Yr
2016,$3.55,$3.48,$3.46,$3.52,$3.60,$3.75,$3.55,$3.08,$3.08,$3.30,$3.20,$3.27,$3.40,$3.30
2017,$3.34,$3.39,$3.43,$3.34,$3.39,$3.35,$3.40,$3.19,$3.21,$3.23,$3.14,$3.20,$3.30,$3.31
2018,$3.24,$3.33,$3.43,$3.52,$3.57,$3.54,$3.41,$3.27,$3.29,$3.40,$3.40,$3.52,$3.41,$3.59
2019,$3.52,$3.54,$3.57,$3.51,$3.59,$3.95,$4.11,$3.91,$3.72,$3.79,$3.64,$3.70,$3.71,$3.50
2020,$3.78,$3.74,$3.64,$3.28,$3.12,$3.11,$3.14,$3.08,$3.39,$3.61,$3.82,$4.05,$3.48,$4.64
2021,$4.40,$4.87,$4.89,$5.35,$6.03,$6.19,$6.22,$6.38,$5.63,$5.02,$5.23,$5.54,$5.48,$6.10
2022,$5.70,$6.11,$6.59,$7.12,$7.34,$7.48,$7.44,$7.40,$7.42,$6.53,$6.50,$6.69,$6.86,$6.62
2023,$6.74,$6.83,$6.70,$6.75,$6.57,$6.57,$6.33,$5.77,$5.22,$4.96,$4.74,$4.89,$6.01,$4.61
2024,$4.84,$4.39,$4.43,$4.50,$4.63,$4.60,$4.32,$4.02,$4.09,$4.01,$4.12,$4.27,$4.35,$4.40
2025,$4.37,$4.59,$4.53,$4.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
